gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,up_down
CHLRE_01g000017v5,58.08177311808082,-1.1809519987920636,0.2617224805345384,-4.512229887093014,6.41496034027304e-6,3.8722222171099083e-5,NONE
CHLRE_01g000050v5,124.42826234172318,1.1739815209663562,0.2513744129679333,4.670250671519682,3.008324122744077e-6,1.967100440450935e-5,NONE
CHLRE_01g000150v5,156.96398580949716,1.143739488921281,0.27414548848638,4.172016454606379,3.0191582794373896e-5,1.5716205551200122e-4,NONE
CHLRE_01g000550v5,14.156205365246189,1.2743854453093086,0.5133572978667673,2.482453158073254,0.013048122178658179,0.032906649770339816,NONE
CHLRE_01g000700v5,15.732939381750207,-1.447848521595013,0.45753031900470964,-3.1644865082265934,0.0015535686479639472,0.005209414512723354,NONE
CHLRE_01g001600v5,388.1192202553383,1.0647175016194101,0.20645305445562145,5.15718938829398,2.506842163749278e-7,2.0465511941776904e-6,NONE
CHLRE_01g002300v5,11222.484817550352,1.7789992406280146,0.2237865921719622,7.949534524664441,1.8721360421038e-15,5.582892490114605e-14,NONE
CHLRE_01g002500v5,14737.859056173811,-1.0032900085762,0.11986220538085894,-8.370361661445099,5.744166151926634e-17,2.1286976182342048e-15,NONE
CHLRE_01g002787v5,58.877617686110625,-2.920847639507829,0.40008032635905433,-7.3006530115817245,2.863744113311471e-13,6.296800556349262e-12,DOWN
CHLRE_01g002824v5,14.0059759129776,-2.8430555657901464,0.5918194053460235,-4.803924204087015,1.555857468024385e-6,1.0816882590720966e-5,DOWN
CHLRE_01g002861v5,1258.2579758610175,-2.579180129080183,0.14036824856502186,-18.37438420331537,2.1068529807894642e-75,1.2408611609356805e-72,DOWN
CHLRE_01g003000v5,11.376180257047295,3.3221282476095686,0.7888801988042523,4.211194871724623,2.5402349487222143e-5,1.3465449868009654e-4,UP
CHLRE_01g003516v5,714.7828802540483,-1.1308522511735126,0.22577787534886712,-5.0086938298367105,5.480066838603192e-7,4.228908855189762e-6,NONE
CHLRE_01g003600v5,7.081321810758478,1.8800149014939533,0.7747869516099317,2.4264927249839015,0.015245555981698843,0.037591875552361785,NONE
CHLRE_01g003950v5,393.4379837576146,-3.2576277746548987,0.5678774586354095,-5.736497769224489,9.665432239610126e-9,1.0397432685153984e-7,DOWN
CHLRE_01g004124v5,3266.3232279160466,-1.3446508041564644,0.10865510101527669,-12.375404298482124,3.5510166169602116e-35,6.731013221872512e-33,NONE
CHLRE_01g004700v5,181.90104976341803,1.163719332565139,0.23090227084092865,5.039878249473082,4.6582809503877066e-7,3.644198821292394e-6,NONE
CHLRE_01g004800v5,1980.1597776249148,-1.2533762111503235,0.16763511164773753,-7.4768119806793445,7.614723679507637e-14,1.827866203766528e-12,NONE
CHLRE_01g005150v5,6867.878448912887,-1.1522866344462475,0.221329034932889,-5.20621541948006,1.9273089494364872e-7,1.6166455689296598e-6,NONE
CHLRE_01g005200v5,94.39505306267398,-1.2038544085007927,0.2657242523260465,-4.530464938607299,5.8854021814360904e-6,3.577448115520183e-5,NONE
CHLRE_01g005534v5,413.5198080991742,1.8926701325350161,0.1902659489027739,9.947497928292847,2.5860324055087732e-23,1.938466381783872e-21,NONE
CHLRE_01g005850v5,747.0902527145847,2.6019903009164427,0.5372213921909785,4.843422728020207,1.276213667468259e-6,9.10295830026776e-6,UP
CHLRE_01g006000v5,177.71634681485398,-1.1118037575177007,0.16819467720792083,-6.610219633426914,3.8375024779738926e-11,6.168055883456867e-10,NONE
CHLRE_01g006150v5,533.1336929922343,-1.1960959621265532,0.1837590370457276,-6.509045657596204,7.562973525711562e-11,1.155368865856651e-9,NONE
CHLRE_01g006301v5,146.46497955026135,-1.9602308113456905,0.27148437727002683,-7.220418467748455,5.182783638471527e-13,1.0957600638722303e-11,NONE
CHLRE_01g006352v5,6.207058931490831,-2.6204144805980234,0.741993760594978,-3.5315856005268933,4.130761406617189e-4,0.0016196002462321461,DOWN
CHLRE_01g007150v5,91.61429209543581,1.2938287330316245,0.30760418278635154,4.206148048156619,2.5976010276509695e-5,1.3747444976570006e-4,NONE
CHLRE_01g007251v5,35.908822751341866,4.603901201074292,0.5733583473039966,8.02970990606907,9.770341245197863e-16,3.092566170337005e-14,UP
CHLRE_01g007600v5,2492.9626630181147,-1.0962037989160158,0.10981593414554974,-9.982192542870056,1.823911695230963e-23,1.405519989067935e-21,NONE
CHLRE_01g008250v5,28.362469518683852,2.4961408635657034,0.4109337130727174,6.074315112530071,1.2451800506850415e-9,1.5579866628108512e-8,UP
CHLRE_01g008350v5,114.01144651152315,1.1744282438312732,0.3107669326743753,3.7791287307322716,1.5737805291430917e-4,6.902450719707108e-4,NONE
CHLRE_01g008800v5,183.56969873141963,1.0214162747486497,0.21013664473801485,4.860724201731151,1.1695710118576456e-6,8.429805750237951e-6,NONE
CHLRE_01g009000v5,324.7045273933781,1.4375419374688885,0.19386839543239118,7.415040157848785,1.2158795931197047e-13,2.8122118331188008e-12,NONE
CHLRE_01g009025v5,39.110059444900926,2.074832833550986,0.3881804835543357,5.345020992691304,9.04065751183528e-8,8.107095325050331e-7,UP
CHLRE_01g009101v5,66.34179189906743,2.056389509547478,0.7124463473429594,2.88637806512266,0.0038970372018038235,0.011650841278996892,UP
CHLRE_01g009150v5,22.998077603847236,1.2312331200799183,0.3847047223705996,3.2004627146058997,0.0013720712036624778,0.004675930196238463,NONE
CHLRE_01g009325v5,7.804616584301778,2.317505326233298,0.7440794633620843,3.1145938577067707,0.001841983436332659,0.006061893603784051,UP
CHLRE_01g009350v5,158.8640646183818,1.0691686697526765,0.227806519007496,4.693319025332613,2.688077941502885e-6,1.7788560727658136e-5,NONE
CHLRE_01g009500v5,378.33142750156935,-1.2072123818491634,0.1868334837656683,-6.461434843035322,1.0371481203523449e-10,1.5591257659736117e-9,NONE
CHLRE_01g010100v5,465.2902295527136,1.029143127152396,0.17126290822238913,6.009141955104653,1.865077691519662e-9,2.256566119651559e-8,NONE
CHLRE_01g010201v5,128.83832221222923,-1.3101176930815508,0.2415352220321157,-5.4241268915526994,5.823850066443289e-8,5.395568058748105e-7,NONE
CHLRE_01g010350v5,194.00779332114843,-1.336497170529184,0.19818669733301042,-6.743627037103736,1.544807820320472e-11,2.6812931266177964e-10,NONE
CHLRE_01g010400v5,21162.14061353427,4.345010565248364,0.1537932650291483,28.252281167350585,1.3343992702641587e-175,1.8337981971605203e-172,UP
CHLRE_01g010650v5,33.80348656495747,1.4877169390348572,0.32727319155795553,4.545795309272691,5.4728204029512735e-6,3.3588493213646984e-5,NONE
CHLRE_01g010864v5,51.73203329904498,-1.1967175690174023,0.2998396973951588,-3.9911912245570607,6.574224333420902e-5,3.160802725435688e-4,NONE
